,id,usingtime
27,28,"{'kukka': 925, 'trive': 972, 'tving': 448, 'laftel': 100, 'youtube': 752, 'watcha': 761, 'tlxpass': 947, 'closetshare': 801}"
28,29,"{'netflix': 714, 'dailyshot': 195, 'coupang': 785, 'milessbook': 554, 'melon': 449, 'naver': 516, 'wisely': 549, 'bacon': 335}"
29,30,"{'socar': 785, 'kukka': 559, 'tving': 301, 'trive': 38, 'dailyshot': 137, 'milessbook': 345, 'watcha': 559, 'tlxpass': 794, 'naver': 782}"
30,31,"{'tlxpass': 303, 'wisely': 511, 'publy': 143, 'dailyshot': 231}"
31,32,"{'trive': 639, 'youtube': 331, 'kukka': 359, 'netflix': 757}"
32,33,"{'wisely': 323, 'moonday': 316, 'watcha': 21, 'laftel': 374}"
33,34,"{'socar': 852, 'kukka': 617, 'netflix': 23, 'tving': 607, 'dailyshot': 223, 'publy': 163, 'moonday': 110, 'watcha': 133, 'naver': 471, 'closetshare': 471}"
34,35,"{'socar': 516, 'netflix': 962, 'trive': 156, 'laftel': 906, 'bacon': 496, 'coupang': 740, 'milessbook': 340, 'youtube': 72, 'tlxpass': 522, 'closetshare': 218}"
35,36,"{'naver': 956, 'tving': 315, 'trive': 687, 'coupang': 900}"
36,37,"{'kukka': 538, 'tving': 197, 'netflix': 305, 'publy': 3, 'milessbook': 321, 'moonday': 387, 'youtube': 774, 'watcha': 717, 'melon': 398, 'tlxpass': 484, 'wisely': 695, 'closetshare': 12, 'naver': 380}"
37,38,"{'trive': 522, 'tving': 206, 'netflix': 830, 'publy': 830, 'milessbook': 371, 'youtube': 947, 'watcha': 582}"
38,39,"{'netflix': 565, 'trive': 634, 'dailyshot': 976, 'laftel': 363, 'publy': 273, 'moonday': 374, 'milessbook': 636, 'youtube': 378, 'watcha': 729, 'melon': 694, 'tlxpass': 28, 'bacon': 239}"
39,40,"{'socar': 111, 'kukka': 351, 'netflix': 958, 'dailyshot': 188, 'coupang': 550, 'publy': 768, 'milessbook': 826, 'moonday': 434, 'youtube': 763, 'watcha': 590, 'melon': 360, 'wisely': 210}"
40,41,"{'kukka': 515, 'tving': 467, 'netflix': 674, 'milessbook': 906, 'youtube': 733, 'naver': 34, 'wisely': 596, 'closetshare': 286}"
41,42,"{'milessbook': 619, 'dailyshot': 948}"
42,43,"{'netflix': 555, 'dailyshot': 751, 'laftel': 143, 'moonday': 90, 'youtube': 625, 'watcha': 777, 'naver': 528, 'tlxpass': 80, 'wisely': 959}"
43,44,"{'trive': 369, 'melon': 94, 'coupang': 193}"
44,45,"{'laftel': 572, 'netflix': 109, 'closetshare': 285, 'publy': 927}"
45,46,"{'trive': 384, 'tving': 95, 'netflix': 378, 'moonday': 674, 'watcha': 444, 'wisely': 894, 'tlxpass': 744, 'closetshare': 232}"
46,47,"{'tving': 781, 'closetshare': 794}"
47,48,"{'tving': 110, 'watcha': 610, 'bacon': 418}"
48,49,"{'kukka': 56, 'netflix': 354, 'bacon': 463, 'publy': 974, 'laftel': 930, 'milessbook': 32, 'moonday': 851, 'youtube': 355, 'melon': 540, 'wisely': 74, 'tlxpass': 226, 'closetshare': 643}"
49,50,"{'socar': 712, 'trive': 653, 'dailyshot': 680, 'moonday': 887, 'milessbook': 696, 'melon': 758}"
50,51,"{'trive': 759, 'netflix': 911, 'coupang': 147, 'publy': 915, 'milessbook': 273, 'watcha': 403, 'tlxpass': 971, 'bacon': 97, 'naver': 625}"
51,52,"{'kukka': 170, 'netflix': 728, 'tving': 271, 'dailyshot': 427, 'moonday': 920, 'youtube': 398, 'watcha': 600, 'naver': 451, 'wisely': 939, 'bacon': 513}"
52,53,"{'kukka': 362, 'netflix': 816, 'trive': 994, 'tving': 402, 'coupang': 322, 'publy': 386, 'moonday': 52, 'watcha': 641, 'melon': 569, 'tlxpass': 628, 'bacon': 54}"
53,54,"{'trive': 121, 'netflix': 879, 'dailyshot': 624, 'coupang': 127, 'moonday': 262, 'watcha': 853, 'tlxpass': 438, 'naver': 504}"
54,55,"{'socar': 487, 'kukka': 935, 'trive': 513, 'netflix': 48, 'tving': 522, 'coupang': 313, 'youtube': 84, 'naver': 647}"
55,56,"{'kukka': 369, 'netflix': 760, 'dailyshot': 798, 'coupang': 770, 'publy': 113, 'laftel': 971, 'milessbook': 13, 'youtube': 669, 'watcha': 921, 'melon': 994, 'naver': 465, 'wisely': 944, 'closetshare': 42}"
56,57,"{'dailyshot': 825, 'laftel': 547, 'publy': 80, 'closetshare': 610, 'wisely': 864, 'tlxpass': 855, 'bacon': 753, 'naver': 590}"
57,58,"{'kukka': 55, 'netflix': 67, 'dailyshot': 55, 'milessbook': 920, 'bacon': 522}"
58,59,"{'watcha': 867, 'closetshare': 88, 'kukka': 866, 'melon': 446}"
59,60,"{'milessbook': 444, 'tving': 533, 'watcha': 168, 'laftel': 629}"
60,61,"{'naver': 62, 'dailyshot': 80, 'laftel': 203}"
61,62,"{'trive': 925, 'dailyshot': 726, 'laftel': 782, 'publy': 34, 'watcha': 674, 'tlxpass': 192, 'closetshare': 823}"
62,63,"{'publy': 671, 'milessbook': 168, 'melon': 345, 'naver': 758, 'bacon': 571}"
63,64,"{'youtube': 374, 'kukka': 443}"
64,65,"{'trive': 778, 'tving': 893, 'laftel': 879, 'watcha': 51, 'tlxpass': 738}"
65,66,"{'kukka': 361, 'netflix': 545, 'laftel': 669, 'moonday': 812, 'youtube': 218, 'watcha': 616, 'wisely': 611, 'tlxpass': 278, 'bacon': 858, 'naver': 589}"
66,67,"{'moonday': 813, 'netflix': 512, 'melon': 596, 'publy': 607}"
67,68,"{'tlxpass': 879, 'laftel': 954}"
68,69,"{'kukka': 590, 'tving': 810, 'publy': 779, 'watcha': 589, 'melon': 213, 'tlxpass': 119}"
69,70,"{'kukka': 507, 'trive': 874, 'tving': 981, 'netflix': 909, 'publy': 183, 'milessbook': 506, 'youtube': 677, 'wisely': 399, 'tlxpass': 385, 'bacon': 517, 'naver': 989}"
70,71,"{'kukka': 481, 'melon': 79}"
71,72,"{'socar': 739, 'kukka': 193, 'netflix': 39, 'trive': 555, 'laftel': 212, 'publy': 27, 'coupang': 9, 'naver': 651, 'wisely': 542}"
72,73,"{'kukka': 461, 'tving': 779, 'coupang': 899, 'publy': 947, 'moonday': 123}"
73,74,"{'kukka': 186, 'netflix': 453, 'trive': 335, 'dailyshot': 713, 'laftel': 640, 'publy': 759, 'youtube': 523, 'watcha': 755, 'closetshare': 157}"
74,75,"{'socar': 46, 'laftel': 373, 'moonday': 150, 'youtube': 915, 'watcha': 559, 'melon': 617, 'tlxpass': 531, 'wisely': 237}"
75,76,"{'netflix': 9, 'dailyshot': 358, 'publy': 446, 'milessbook': 267, 'moonday': 984, 'melon': 441, 'wisely': 829, 'closetshare': 458}"
76,77,"{'socar': 630, 'dailyshot': 579, 'bacon': 960, 'milessbook': 494, 'moonday': 288, 'watcha': 527, 'melon': 841, 'naver': 349, 'closetshare': 865}"
77,78,"{'watcha': 470, 'dailyshot': 26, 'coupang': 232}"
78,79,"{'socar': 799, 'tving': 610, 'laftel': 447, 'coupang': 513, 'milessbook': 665, 'moonday': 186, 'youtube': 969, 'wisely': 754, 'tlxpass': 559}"
79,80,"{'socar': 828, 'kukka': 795, 'trive': 329, 'dailyshot': 959, 'publy': 803, 'coupang': 1, 'milessbook': 198, 'moonday': 474, 'watcha': 495, 'melon': 866, 'tlxpass': 443, 'wisely': 179}"
80,81,"{'kukka': 85, 'netflix': 12, 'laftel': 668, 'coupang': 162, 'milessbook': 719, 'moonday': 461, 'youtube': 895, 'tlxpass': 797, 'closetshare': 748}"
81,82,"{'socar': 725, 'kukka': 444, 'netflix': 654, 'tving': 855, 'laftel': 583, 'publy': 29, 'milessbook': 210, 'moonday': 353, 'watcha': 936, 'melon': 263, 'naver': 114, 'tlxpass': 817, 'closetshare': 375}"
82,83,"{'coupang': 718, 'laftel': 278, 'milessbook': 958, 'melon': 303, 'wisely': 807, 'naver': 10}"
83,84,"{'socar': 193, 'kukka': 715, 'netflix': 608, 'tving': 437, 'milessbook': 399, 'youtube': 816, 'watcha': 880, 'melon': 355, 'wisely': 479, 'tlxpass': 387, 'bacon': 950, 'naver': 154}"
84,85,"{'socar': 306, 'trive': 458, 'publy': 649}"
85,86,"{'socar': 335, 'dailyshot': 986, 'coupang': 589, 'moonday': 611, 'youtube': 142, 'watcha': 55, 'wisely': 979, 'closetshare': 326, 'naver': 463}"
86,87,"{'coupang': 872, 'milessbook': 614, 'melon': 975, 'naver': 882, 'wisely': 42, 'closetshare': 124}"
87,88,"{'milessbook': 37, 'closetshare': 484}"
88,89,"{'socar': 28, 'kukka': 594, 'tving': 809, 'trive': 28, 'dailyshot': 163, 'publy': 700, 'wisely': 854, 'tlxpass': 719, 'bacon': 635}"
89,90,"{'socar': 869, 'kukka': 570, 'trive': 418, 'tving': 333, 'coupang': 863, 'moonday': 385, 'watcha': 133}"
90,91,"{'socar': 668, 'dailyshot': 941, 'publy': 73, 'bacon': 379, 'moonday': 481, 'youtube': 718, 'closetshare': 818}"
91,92,"{'socar': 656, 'tving': 807, 'netflix': 53, 'laftel': 185, 'coupang': 901, 'publy': 767, 'moonday': 354, 'melon': 3, 'naver': 443, 'tlxpass': 917, 'wisely': 104, 'closetshare': 187}"
92,93,"{'coupang': 992, 'bacon': 174, 'publy': 310, 'milessbook': 793, 'naver': 793, 'tlxpass': 502, 'closetshare': 606}"
93,94,"{'socar': 375, 'trive': 230, 'youtube': 72, 'melon': 134, 'tlxpass': 929, 'wisely': 349, 'closetshare': 463, 'naver': 371}"
94,95,"{'trive': 628, 'netflix': 432, 'laftel': 587, 'coupang': 194, 'publy': 297}"
95,96,"{'coupang': 36, 'milessbook': 786, 'moonday': 523, 'naver': 673, 'tlxpass': 444, 'closetshare': 323}"
96,97,"{'trive': 73, 'netflix': 480, 'publy': 500, 'milessbook': 460, 'wisely': 540, 'tlxpass': 3}"
97,98,"{'socar': 262, 'kukka': 73, 'trive': 215, 'tving': 343, 'dailyshot': 125, 'laftel': 193, 'moonday': 500, 'milessbook': 135, 'closetshare': 364, 'melon': 930, 'wisely': 225, 'tlxpass': 440, 'bacon': 747}"
98,99,"{'kukka': 167, 'netflix': 558, 'trive': 29, 'dailyshot': 309, 'laftel': 469, 'closetshare': 283, 'melon': 94, 'naver': 67, 'tlxpass': 667, 'wisely': 799, 'bacon': 113}"
99,100,"{'socar': 279, 'laftel': 140, 'melon': 207, 'naver': 735, 'tlxpass': 174}"
100,101,"{'tlxpass': 387, 'laftel': 8}"
101,102,"{'kukka': 882, 'netflix': 776, 'dailyshot': 271, 'laftel': 313, 'publy': 740, 'moonday': 950, 'milessbook': 945, 'youtube': 854, 'bacon': 79}"
102,103,"{'tving': 949, 'dailyshot': 496}"
103,104,"{'tving': 366, 'dailyshot': 799, 'naver': 826, 'tlxpass': 403, 'wisely': 827, 'closetshare': 93}"
104,105,"{'tving': 525, 'publy': 306, 'watcha': 415, 'melon': 571, 'tlxpass': 811}"
105,106,"{'socar': 588, 'netflix': 570, 'tving': 933, 'trive': 428, 'publy': 164, 'youtube': 323, 'watcha': 163, 'bacon': 885}"
106,107,"{'tlxpass': 527, 'melon': 738}"
107,108,"{'tving': 735, 'laftel': 895}"
108,109,"{'milessbook': 325, 'socar': 761, 'watcha': 98, 'publy': 613}"
109,110,"{'kukka': 750, 'netflix': 917, 'tving': 969, 'dailyshot': 174, 'coupang': 460, 'laftel': 511, 'bacon': 135, 'youtube': 836, 'watcha': 351, 'melon': 244, 'naver': 767, 'closetshare': 49}"
110,111,"{'kukka': 856, 'coupang': 327, 'bacon': 622, 'publy': 928, 'youtube': 338, 'wisely': 682, 'closetshare': 216, 'naver': 941}"
111,112,"{'trive': 758, 'dailyshot': 858, 'coupang': 571, 'moonday': 644, 'milessbook': 512, 'melon': 567, 'tlxpass': 591}"
112,113,"{'socar': 518, 'kukka': 103, 'trive': 653, 'tving': 977, 'watcha': 912, 'melon': 963, 'wisely': 8, 'tlxpass': 886}"
113,114,"{'socar': 881, 'kukka': 930, 'tving': 695, 'dailyshot': 604, 'laftel': 433, 'publy': 790, 'moonday': 886, 'milessbook': 867, 'watcha': 499, 'melon': 410, 'wisely': 361, 'tlxpass': 4, 'closetshare': 457}"
114,115,"{'kukka': 456, 'netflix': 104, 'tving': 856, 'laftel': 134, 'coupang': 85, 'melon': 615, 'naver': 283, 'closetshare': 573}"
115,116,"{'moonday': 899, 'milessbook': 422, 'socar': 494, 'melon': 278}"
116,117,"{'socar': 410, 'trive': 104, 'tving': 552, 'dailyshot': 641, 'coupang': 587, 'publy': 343, 'laftel': 642, 'netflix': 392, 'melon': 170, 'closetshare': 747}"
117,118,"{'tlxpass': 95, 'trive': 975, 'watcha': 502, 'netflix': 206}"
118,119,"{'netflix': 105, 'dailyshot': 293, 'laftel': 698, 'youtube': 1, 'melon': 513, 'tlxpass': 465, 'naver': 166}"
119,120,"{'socar': 770, 'trive': 522, 'tving': 540, 'dailyshot': 73, 'coupang': 434, 'publy': 218, 'milessbook': 175, 'youtube': 706, 'watcha': 729, 'melon': 623, 'naver': 104, 'wisely': 830}"
120,121,"{'trive': 834, 'publy': 52}"
121,122,"{'socar': 499, 'kukka': 888, 'trive': 958, 'coupang': 162, 'watcha': 566, 'wisely': 234, 'bacon': 961}"
122,123,"{'naver': 812, 'milessbook': 870, 'netflix': 507, 'bacon': 529}"
123,124,"{'socar': 210, 'kukka': 675, 'tving': 395, 'netflix': 892, 'coupang': 358, 'laftel': 976, 'milessbook': 989, 'youtube': 678, 'melon': 165, 'wisely': 929, 'tlxpass': 612, 'closetshare': 346, 'naver': 934}"
124,125,"{'socar': 85, 'trive': 178, 'laftel': 505, 'wisely': 132, 'bacon': 609}"
125,126,"{'kukka': 983, 'netflix': 599, 'moonday': 710, 'melon': 94, 'tlxpass': 959, 'closetshare': 97}"
126,127,"{'tving': 98, 'dailyshot': 846, 'publy': 533, 'youtube': 610, 'melon': 733, 'wisely': 859, 'tlxpass': 974, 'closetshare': 804}"
127,128,"{'socar': 281, 'trive': 404, 'publy': 134, 'moonday': 406, 'milessbook': 825, 'watcha': 614, 'melon': 644, 'wisely': 497, 'closetshare': 241}"
128,129,"{'kukka': 197, 'dailyshot': 174, 'milessbook': 73, 'youtube': 813, 'watcha': 491, 'tlxpass': 642}"
129,130,"{'socar': 87, 'kukka': 970, 'publy': 494, 'milessbook': 154, 'melon': 289}"
130,131,"{'wisely': 732, 'watcha': 186, 'dailyshot': 578}"
131,132,"{'milessbook': 568, 'moonday': 315, 'youtube': 20, 'bacon': 601}"
132,133,"{'trive': 459, 'dailyshot': 868, 'laftel': 412, 'publy': 187, 'youtube': 308, 'watcha': 544, 'wisely': 531}"
133,134,"{'naver': 27, 'tving': 809, 'bacon': 270, 'publy': 907}"
134,135,"{'moonday': 446, 'netflix': 231, 'youtube': 947}"
135,136,"{'kukka': 747, 'tving': 636, 'trive': 221, 'dailyshot': 375, 'coupang': 59, 'moonday': 974, 'wisely': 547, 'closetshare': 499, 'naver': 714}"
136,137,"{'socar': 235, 'netflix': 961, 'coupang': 753, 'watcha': 910, 'melon': 825, 'tlxpass': 904}"
137,138,"{'socar': 661, 'netflix': 118, 'laftel': 45, 'coupang': 55, 'publy': 57, 'moonday': 685, 'watcha': 348, 'tlxpass': 92}"
138,139,"{'socar': 791, 'trive': 476, 'laftel': 123, 'coupang': 261, 'publy': 736, 'youtube': 117, 'tlxpass': 461}"
139,140,"{'socar': 286, 'tving': 916, 'laftel': 366, 'milessbook': 311, 'closetshare': 886, 'melon': 218, 'wisely': 735, 'bacon': 582}"
140,141,"{'tlxpass': 278, 'youtube': 593, 'laftel': 575}"
141,142,"{'moonday': 905, 'bacon': 842}"
142,143,{'laftel': 655}
143,144,"{'socar': 300, 'kukka': 834, 'tving': 856, 'publy': 168, 'bacon': 780, 'coupang': 439, 'milessbook': 203, 'moonday': 548, 'youtube': 94, 'melon': 265, 'closetshare': 799}"
144,145,"{'dailyshot': 111, 'coupang': 154, 'watcha': 376, 'melon': 708, 'tlxpass': 212}"
145,146,"{'trive': 915, 'tving': 910, 'dailyshot': 346, 'publy': 854, 'melon': 475, 'bacon': 243}"
146,147,"{'trive': 477, 'tving': 555, 'dailyshot': 251, 'publy': 62, 'youtube': 291, 'tlxpass': 165, 'closetshare': 702}"
147,148,"{'kukka': 684, 'watcha': 869, 'melon': 455}"
148,149,"{'moonday': 549, 'socar': 651, 'publy': 869}"
149,150,"{'kukka': 415, 'tving': 86, 'dailyshot': 213, 'milessbook': 564, 'watcha': 71, 'melon': 115, 'closetshare': 58, 'bacon': 829}"
150,151,"{'tving': 253, 'publy': 329, 'youtube': 542, 'watcha': 361, 'closetshare': 944}"
151,152,"{'dailyshot': 840, 'publy': 867, 'moonday': 769, 'melon': 22, 'closetshare': 787}"
152,153,"{'closetshare': 695, 'coupang': 784}"
153,154,"{'moonday': 369, 'coupang': 466}"
154,155,"{'kukka': 960, 'trive': 847, 'netflix': 197, 'laftel': 603, 'moonday': 152, 'milessbook': 127, 'youtube': 535, 'wisely': 844, 'bacon': 626, 'naver': 56}"
155,156,"{'moonday': 812, 'trive': 400, 'coupang': 213}"
156,157,"{'kukka': 265, 'trive': 721, 'dailyshot': 547, 'laftel': 472, 'bacon': 203, 'tlxpass': 338, 'closetshare': 928, 'naver': 911}"
157,158,"{'socar': 515, 'trive': 852, 'tving': 791, 'dailyshot': 412, 'publy': 524, 'netflix': 203, 'laftel': 162, 'watcha': 159}"
158,159,"{'trive': 734, 'youtube': 467, 'watcha': 305, 'dailyshot': 480}"
159,160,"{'moonday': 623, 'trive': 337}"
160,161,"{'tlxpass': 862, 'socar': 446, 'tving': 470, 'watcha': 174}"
161,162,"{'socar': 477, 'trive': 918, 'netflix': 197, 'dailyshot': 518, 'publy': 354, 'youtube': 571, 'melon': 585, 'wisely': 513, 'tlxpass': 442, 'bacon': 351, 'naver': 289}"
162,163,"{'tlxpass': 40, 'moonday': 917, 'netflix': 529}"
163,164,"{'kukka': 794, 'dailyshot': 48, 'netflix': 276}"
164,165,"{'socar': 220, 'trive': 640, 'coupang': 550, 'melon': 527}"
165,166,"{'dailyshot': 174, 'publy': 262}"
166,167,"{'milessbook': 296, 'moonday': 530, 'trive': 424}"
167,168,"{'kukka': 983, 'coupang': 814, 'moonday': 897, 'naver': 130, 'wisely': 973, 'closetshare': 15}"
168,169,"{'socar': 473, 'trive': 66, 'netflix': 86, 'publy': 145, 'milessbook': 722, 'moonday': 699, 'watcha': 466, 'naver': 168, 'closetshare': 728}"
169,170,"{'naver': 104, 'closetshare': 627}"
170,171,"{'socar': 618, 'dailyshot': 585}"
171,172,"{'socar': 856, 'kukka': 509, 'trive': 685, 'netflix': 288, 'dailyshot': 629, 'milessbook': 128, 'youtube': 531, 'naver': 112, 'tlxpass': 496, 'bacon': 202}"
172,173,"{'kukka': 658, 'tving': 617, 'dailyshot': 549, 'publy': 13, 'coupang': 975, 'youtube': 912, 'watcha': 282, 'closetshare': 507, 'melon': 538, 'wisely': 3, 'bacon': 245}"
173,174,"{'tving': 898, 'netflix': 166, 'moonday': 404, 'youtube': 438, 'melon': 739, 'bacon': 314}"
174,175,"{'tlxpass': 770, 'tving': 994, 'dailyshot': 671, 'publy': 606}"
175,176,"{'kukka': 248, 'trive': 645, 'dailyshot': 752, 'moonday': 665, 'milessbook': 550, 'youtube': 388, 'tlxpass': 722}"
176,177,"{'trive': 947, 'netflix': 889, 'tving': 884, 'laftel': 42, 'dailyshot': 754, 'publy': 356, 'milessbook': 582, 'moonday': 925, 'watcha': 961, 'wisely': 631, 'tlxpass': 792, 'bacon': 149}"
177,178,"{'trive': 739, 'tving': 660, 'dailyshot': 595, 'coupang': 963}"
178,179,"{'kukka': 447, 'trive': 756, 'coupang': 814, 'milessbook': 34, 'watcha': 950, 'wisely': 598}"
179,180,"{'trive': 540, 'tving': 284, 'dailyshot': 376, 'laftel': 676, 'coupang': 486, 'moonday': 337, 'youtube': 318, 'melon': 561, 'wisely': 698, 'closetshare': 778}"
180,181,"{'kukka': 30, 'trive': 693, 'dailyshot': 149, 'milessbook': 189, 'youtube': 21, 'melon': 7, 'closetshare': 827}"
181,182,"{'kukka': 240, 'coupang': 61, 'publy': 189, 'youtube': 125, 'watcha': 152, 'closetshare': 355}"
182,183,"{'tving': 733, 'netflix': 949, 'dailyshot': 36, 'coupang': 751, 'trive': 603, 'milessbook': 562, 'watcha': 969, 'closetshare': 270, 'naver': 71, 'tlxpass': 239, 'bacon': 496}"
183,184,"{'kukka': 554, 'tving': 661, 'moonday': 67, 'youtube': 694, 'closetshare': 79}"
184,185,"{'kukka': 844, 'trive': 627, 'coupang': 54, 'melon': 430, 'wisely': 895}"
185,186,"{'moonday': 159, 'milessbook': 364, 'trive': 400, 'watcha': 85}"
186,187,"{'trive': 548, 'publy': 699}"
187,188,"{'socar': 65, 'dailyshot': 212, 'milessbook': 840, 'watcha': 367, 'melon': 492, 'naver': 491, 'tlxpass': 709, 'wisely': 539}"
188,189,"{'kukka': 32, 'netflix': 632, 'coupang': 111, 'milessbook': 584, 'youtube': 442, 'wisely': 944}"
189,190,"{'kukka': 920, 'trive': 44, 'publy': 515, 'milessbook': 117, 'moonday': 353, 'wisely': 268, 'tlxpass': 549}"
190,191,"{'socar': 821, 'kukka': 798, 'dailyshot': 808, 'publy': 284, 'laftel': 956, 'coupang': 414, 'tlxpass': 146, 'bacon': 873}"
191,192,"{'trive': 936, 'netflix': 849, 'dailyshot': 541, 'laftel': 861, 'watcha': 527, 'melon': 226, 'closetshare': 906}"
192,193,"{'socar': 263, 'kukka': 509, 'netflix': 570, 'moonday': 750, 'youtube': 285, 'watcha': 455, 'wisely': 615, 'closetshare': 262, 'naver': 823}"
193,194,"{'kukka': 238, 'laftel': 640, 'publy': 663, 'watcha': 750, 'tlxpass': 745, 'bacon': 458}"
194,195,"{'kukka': 574, 'tving': 375, 'youtube': 82, 'melon': 465, 'naver': 494}"
195,196,"{'socar': 892, 'netflix': 817, 'tving': 607, 'laftel': 937, 'coupang': 229, 'milessbook': 744, 'youtube': 430, 'melon': 140, 'bacon': 410}"
196,197,"{'milessbook': 287, 'trive': 655, 'closetshare': 128}"
197,198,"{'socar': 477, 'netflix': 33, 'dailyshot': 405, 'coupang': 352, 'melon': 956, 'wisely': 816}"
198,199,"{'socar': 943, 'trive': 902, 'kukka': 281, 'coupang': 834}"
199,200,"{'moonday': 665, 'trive': 739, 'kukka': 118, 'publy': 451}"
200,201,"{'coupang': 389, 'laftel': 339, 'publy': 252, 'moonday': 626, 'youtube': 951, 'watcha': 725, 'melon': 180, 'naver': 145, 'bacon': 117}"
201,202,"{'kukka': 863, 'netflix': 156, 'trive': 19, 'laftel': 568, 'coupang': 170, 'milessbook': 844, 'youtube': 951, 'closetshare': 89, 'melon': 662, 'tlxpass': 155, 'bacon': 509, 'naver': 872}"
202,203,"{'kukka': 490, 'laftel': 927, 'coupang': 761, 'bacon': 848, 'moonday': 517, 'milessbook': 301, 'melon': 368, 'tlxpass': 309, 'closetshare': 629}"
203,204,"{'tlxpass': 817, 'bacon': 344}"
204,205,"{'kukka': 219, 'tving': 795, 'trive': 845, 'coupang': 83, 'laftel': 944, 'milessbook': 177, 'youtube': 74, 'closetshare': 112, 'naver': 184, 'tlxpass': 25, 'wisely': 205, 'bacon': 995}"
205,206,"{'socar': 632, 'tving': 912, 'trive': 900, 'laftel': 752, 'wisely': 61, 'closetshare': 459}"
206,207,"{'laftel': 790, 'trive': 465, 'coupang': 10}"
207,208,{'moonday': 973}
208,209,"{'trive': 135, 'coupang': 810}"
209,210,"{'tlxpass': 21, 'closetshare': 799, 'kukka': 610, 'bacon': 356}"
210,211,"{'socar': 605, 'kukka': 471, 'tving': 337, 'netflix': 223, 'laftel': 161, 'publy': 740, 'moonday': 877, 'watcha': 382, 'bacon': 695}"
211,212,"{'kukka': 353, 'moonday': 775, 'naver': 280, 'wisely': 60, 'closetshare': 855}"
212,213,"{'laftel': 851, 'dailyshot': 318, 'closetshare': 780}"
213,214,"{'trive': 530, 'dailyshot': 174, 'publy': 262, 'moonday': 16, 'milessbook': 83, 'youtube': 201, 'closetshare': 690, 'melon': 640, 'wisely': 581, 'bacon': 782, 'naver': 578}"
